,Model,Augmentation,cosine distance
0,conch,rotate_30,0.027445925399661064
1,conch,rotate_60,0.03050881437957287
2,conch,rotate_90,0.013729363679885864
3,conch,rotate_120,0.03042673133313656
4,conch,rotate_150,0.027954183518886566
5,conch,rotate_180,0.006591937504708767
6,conch,rotate_210,0.028365440666675568
7,conch,rotate_240,0.03102783113718033
8,conch,rotate_270,0.013725468888878822
9,conch,rotate_300,0.03021290712058544
10,conch,rotate_330,0.027308760210871696
11,conch,rotate_15,0.02210717834532261
12,conch,rotate_45,0.030911531299352646
13,conch,rotate_75,0.028100276365876198
14,conch,rotate_105,0.02818404696881771
15,conch,rotate_135,0.03099982626736164
16,conch,rotate_165,0.02314368076622486
17,conch,rotate_195,0.02341129630804062
18,conch,rotate_225,0.0315125547349453
19,conch,rotate_255,0.028389014303684235
20,conch,rotate_285,0.028166180476546288
21,conch,rotate_315,0.030632108449935913
22,conch,rotate_345,0.021975742653012276
23,uni,rotate_30,0.06468401849269867
24,uni,rotate_60,0.08546460419893265
25,uni,rotate_90,0.07159251719713211
26,uni,rotate_120,0.09944836050271988
27,uni,rotate_150,0.0961819514632225
28,uni,rotate_180,0.06449326127767563
29,uni,rotate_210,0.09393951296806335
30,uni,rotate_240,0.09501238912343979
31,uni,rotate_270,0.06432721018791199
32,uni,rotate_300,0.08033882081508636
33,uni,rotate_330,0.0648898258805275
34,uni,rotate_15,0.04531664401292801
35,uni,rotate_45,0.07983428239822388
36,uni,rotate_75,0.08589679002761841
37,uni,rotate_105,0.09215837717056274
38,uni,rotate_135,0.10226456820964813
39,uni,rotate_165,0.08614794164896011
40,uni,rotate_195,0.08485513180494308
41,uni,rotate_225,0.10044017434120178
42,uni,rotate_255,0.0869317352771759
43,uni,rotate_285,0.07820417732000351
44,uni,rotate_315,0.07854602485895157
45,uni,rotate_345,0.044879645109176636
46,pathdino,rotate_30,0.027993254363536835
47,pathdino,rotate_60,0.028520312160253525
48,pathdino,rotate_90,0.004406368359923363
49,pathdino,rotate_120,0.02873072400689125
50,pathdino,rotate_150,0.028503932058811188
51,pathdino,rotate_180,0.0036638949532061815
52,pathdino,rotate_210,0.028416208922863007
53,pathdino,rotate_240,0.028755029663443565
54,pathdino,rotate_270,0.004395248368382454
55,pathdino,rotate_300,0.0284755639731884
56,pathdino,rotate_330,0.028019525110721588
57,pathdino,rotate_15,0.025659117847681046
58,pathdino,rotate_45,0.029856622219085693
59,pathdino,rotate_75,0.026486806571483612
60,pathdino,rotate_105,0.026747779920697212
61,pathdino,rotate_135,0.030243033543229103
62,pathdino,rotate_165,0.02600816637277603
63,pathdino,rotate_195,0.026037923991680145
64,pathdino,rotate_225,0.03021775558590889
65,pathdino,rotate_255,0.02662535570561886
66,pathdino,rotate_285,0.02666637673974037
67,pathdino,rotate_315,0.029880044981837273
68,pathdino,rotate_345,0.02549489215016365
69,hibou_b,rotate_30,0.020643090829253197
70,hibou_b,rotate_60,0.02287316508591175
71,hibou_b,rotate_90,0.009443436749279499
72,hibou_b,rotate_120,0.02473815530538559
73,hibou_b,rotate_150,0.023634543642401695
74,hibou_b,rotate_180,0.00769834965467453
75,hibou_b,rotate_210,0.023455174639821053
76,hibou_b,rotate_240,0.02439715340733528
77,hibou_b,rotate_270,0.009422221221029758
78,hibou_b,rotate_300,0.02321472205221653
79,hibou_b,rotate_330,0.020623328164219856
80,hibou_b,rotate_15,0.01647287793457508
81,hibou_b,rotate_45,0.02304183319211006
82,hibou_b,rotate_75,0.020915156230330467
83,hibou_b,rotate_105,0.022081954404711723
84,hibou_b,rotate_135,0.02550210990011692
85,hibou_b,rotate_165,0.019982313737273216
86,hibou_b,rotate_195,0.019888656213879585
87,hibou_b,rotate_225,0.0252905935049057
88,hibou_b,rotate_255,0.021636467427015305
89,hibou_b,rotate_285,0.02126382477581501
90,hibou_b,rotate_315,0.02320285513997078
91,hibou_b,rotate_345,0.01645818166434765
92,hibou_l,rotate_30,0.01892351545393467
93,hibou_l,rotate_60,0.018833596259355545
94,hibou_l,rotate_90,0.0040171146392822266
95,hibou_l,rotate_120,0.020174071192741394
96,hibou_l,rotate_150,0.02000429481267929
97,hibou_l,rotate_180,0.0029262315947562456
98,hibou_l,rotate_210,0.019558586180210114
99,hibou_l,rotate_240,0.019216075539588928
100,hibou_l,rotate_270,0.004259868059307337
101,hibou_l,rotate_300,0.02000022493302822
102,hibou_l,rotate_330,0.019025161862373352
103,hibou_l,rotate_15,0.01464154664427042
104,hibou_l,rotate_45,0.0200558602809906
105,hibou_l,rotate_75,0.01533730048686266
106,hibou_l,rotate_105,0.016070624813437462
107,hibou_l,rotate_135,0.0213701780885458
